device,app,run_type,processor,mean_time
3A021JEHN02756,cifar-dense,fully,little,348.1774777777778
3A021JEHN02756,cifar-dense,fully,medium,118.71613703703702
3A021JEHN02756,cifar-dense,fully,big,137.41531111111112
3A021JEHN02756,cifar-dense,fully,gpu,0.7692259259259259
3A021JEHN02756,cifar-dense,normal,little,266.0195444444444
3A021JEHN02756,cifar-dense,normal,medium,93.95043703703703
3A021JEHN02756,cifar-dense,normal,big,103.88365185185184
3A021JEHN02756,cifar-dense,normal,gpu,1.3175185185185183
3A021JEHN02756,cifar-sparse,fully,little,13.965396296296298
3A021JEHN02756,cifar-sparse,fully,medium,4.629988888888889
3A021JEHN02756,cifar-sparse,fully,big,6.230051851851851
3A021JEHN02756,cifar-sparse,fully,gpu,2.0924444444444443
3A021JEHN02756,cifar-sparse,normal,little,15.264733333333336
3A021JEHN02756,cifar-sparse,normal,medium,4.394925925925927
3A021JEHN02756,cifar-sparse,normal,big,4.377133333333334
3A021JEHN02756,cifar-sparse,normal,gpu,4.7125407407407405
3A021JEHN02756,tree,fully,little,4.338357142857143
3A021JEHN02756,tree,fully,medium,1.9070142857142858
3A021JEHN02756,tree,fully,big,2.220014285714286
3A021JEHN02756,tree,fully,gpu,3.4321619047619043
3A021JEHN02756,tree,normal,little,3.5068714285714284
3A021JEHN02756,tree,normal,medium,1.276847619047619
3A021JEHN02756,tree,normal,big,1.1940857142857142
3A021JEHN02756,tree,normal,gpu,4.599161904761905
jetson,cifar-dense,fully,little,61.38126666666666
jetson,cifar-dense,fully,medium,0.0
jetson,cifar-dense,fully,big,0.0
jetson,cifar-dense,fully,gpu,3.2380666666666666
jetson,cifar-dense,normal,little,59.05128518518519
jetson,cifar-dense,normal,medium,0.0
jetson,cifar-dense,normal,big,0.0
jetson,cifar-dense,normal,gpu,3.2710444444444446
jetson,cifar-sparse,fully,little,3.267807407407408
jetson,cifar-sparse,fully,medium,0.0
jetson,cifar-sparse,fully,big,0.0
jetson,cifar-sparse,fully,gpu,1.0061
jetson,cifar-sparse,normal,little,2.26542962962963
jetson,cifar-sparse,normal,medium,0.0
jetson,cifar-sparse,normal,big,0.0
jetson,cifar-sparse,normal,gpu,1.1118074074074071
9b034f1b,cifar-dense,fully,little,284.1973148148148
9b034f1b,cifar-dense,fully,medium,125.9219
9b034f1b,cifar-dense,fully,big,77.00916296296298
9b034f1b,cifar-dense,fully,gpu,0.6823111111111111
9b034f1b,cifar-dense,normal,little,256.05971111111114
9b034f1b,cifar-dense,normal,medium,135.26837037037035
9b034f1b,cifar-dense,normal,big,124.87094444444445
9b034f1b,cifar-dense,normal,gpu,1.3545222222222222
9b034f1b,cifar-sparse,fully,little,15.584833333333332
9b034f1b,cifar-sparse,fully,medium,4.8687555555555555
9b034f1b,cifar-sparse,fully,big,3.246925925925926
9b034f1b,cifar-sparse,fully,gpu,1.6228407407407408
9b034f1b,cifar-sparse,normal,little,15.419377777777775
9b034f1b,cifar-sparse,normal,medium,5.177385185185185
9b034f1b,cifar-sparse,normal,big,5.574396296296295
9b034f1b,cifar-sparse,normal,gpu,2.7127888888888894
9b034f1b,tree,fully,little,3.2450785714285715
9b034f1b,tree,fully,medium,1.5836999999999999
9b034f1b,tree,fully,big,1.2556214285714287
9b034f1b,tree,fully,gpu,4.2702857142857145
9b034f1b,tree,normal,little,2.5947
9b034f1b,tree,normal,medium,1.6505785714285715
9b034f1b,tree,normal,big,1.7775785714285715
9b034f1b,tree,normal,gpu,6.854785714285716
jetsonlowpower,cifar-dense,fully,little,125.58041111111112
jetsonlowpower,cifar-dense,fully,medium,0.0
jetsonlowpower,cifar-dense,fully,big,0.0
jetsonlowpower,cifar-dense,fully,gpu,11.731737037037039
jetsonlowpower,cifar-dense,normal,little,124.46271851851851
jetsonlowpower,cifar-dense,normal,medium,0.0
jetsonlowpower,cifar-dense,normal,big,0.0
jetsonlowpower,cifar-dense,normal,gpu,11.524107407407406
jetsonlowpower,cifar-sparse,fully,little,5.629077777777777
jetsonlowpower,cifar-sparse,fully,medium,0.0
jetsonlowpower,cifar-sparse,fully,big,0.0
jetsonlowpower,cifar-sparse,fully,gpu,3.0517555555555553
jetsonlowpower,cifar-sparse,normal,little,4.7925
jetsonlowpower,cifar-sparse,normal,medium,0.0
jetsonlowpower,cifar-sparse,normal,big,0.0
jetsonlowpower,cifar-sparse,normal,gpu,3.0022333333333333
