,Measured Avg (s),Measured Geo (s),Predicted (s),Diff Arith (s),Diff Geo (s),Diff Arith %,Diff Geo %,Error %
Execution 1,11.790730917000001,11.769442861264405,8.6717,3.1190309170000017,3.097742861264406,35.96792920649932,35.72244036653028,6.22937887117845
Execution 2,7.910859984,7.904697027460585,8.6717,-0.7608400159999995,-0.767002972539415,-8.773827692378653,-8.84489745424098,4.089599987895302
Execution 3,7.244577554999999,7.244112087955599,9.07,-1.825422445000001,-1.8258879120444016,-20.125936549062853,-20.13106849001545,1.1935663635399762
Execution 4,6.7151329340000006,6.7116726949166114,9.1116,-2.3964670659999987,-2.399927305083388,-26.301276021774427,-26.339252217869397,3.462002073764513
Execution 5,8.143197104,8.130019944209259,9.1116,-0.9684028959999988,-0.9815800557907401,-10.628241977259744,-10.772861580740377,5.862226441269265
Execution 6,7.3889834799999985,7.383072079064676,9.1116,-1.7226165200000008,-1.7285279209353233,-18.90575222792924,-18.97062997646213,4.0797370309863075
Execution 7,6.970282268,6.9566856034586735,9.1116,-2.141317731999999,-2.1549143965413258,-23.50100676061284,-23.650230437478882,6.634015782846875
Execution 8,6.902562622,6.885499831632107,9.2635,-2.360937378000001,-2.378000168367893,-25.48645088789335,-25.670644663117535,7.31986628032339
Execution 9,7.039947225000001,7.014796041955929,9.2635,-2.223552775,-2.2487039580440715,-24.00337642359799,-24.274884849614846,8.82744662049432
Execution 10,6.976183472999999,6.956904705436487,9.5876,-2.611416527000001,-2.6306952945635134,-27.23743717927324,-27.438517403349255,7.713704081324892
Execution 11,6.594187663999999,6.580300981675528,9.6043,-3.0101123360000015,-3.0239990183244725,-31.3412985433608,-31.485886720786237,7.0955186934843875
Execution 12,9.965226562000002,9.833762768447832,9.6043,0.3609265620000013,0.22946276844783142,3.7579684308070473,2.3891670236022553,16.953132375436038
Execution 13,9.514074096000002,9.491516841899747,9.6183,-0.10422590399999798,-0.12678315810025254,-1.0836208477589384,-1.3181451826232549,7.566407335517001
Execution 14,10.173499226,10.089134996791545,9.6358,0.5376992260000009,0.4533349967915452,5.580224018763371,4.704694958296615,13.928612565165018
Execution 15,8.141021606999999,8.13160286868357,9.9833,-1.8422783930000008,-1.8516971313164294,-18.453601444412175,-18.547946383624947,5.0246638284353065
Execution 16,7.919752278999999,7.894237550530757,9.9833,-2.063547721000001,-2.0890624494692425,-20.669996103492842,-20.925570196921285,8.769805127919646
Execution 17,10.029335042,9.966936639651438,9.9833,0.04603504199999975,-0.016363360348561784,0.46112049122033544,-0.1639073287245879,12.361649560541732
Execution 18,8.662034057,8.654921629547458,9.9833,-1.3212659430000002,-1.3283783704525423,-13.234761481674399,-13.306004732428578,4.344929871055517
Execution 19,8.563924195000002,8.556215702966512,9.9833,-1.4193758049999978,-1.4270842970334883,-14.21750127713279,-14.29471514462641,4.623424372387787
Execution 20,9.099136189000001,9.032226345343695,9.9833,-0.8841638109999987,-0.9510736546563052,-8.8564283453367,-9.526646045458968,13.935716291126688
Execution 21,8.348048176999999,8.32171809970356,9.9833,-1.6352518230000008,-1.66158190029644,-16.379872617270852,-16.643613838073986,8.484791271939617
Execution 22,8.929659912000002,8.882407014702977,9.9833,-1.053640087999998,-1.1008929852970226,-10.554026103592982,-11.027345519988607,10.846059876520025
Execution 23,9.237273924,9.225831156952996,9.9833,-0.7460260759999997,-0.757468843047004,-7.472740236194442,-7.5873593205353345,5.441941496252393
Execution 24,9.938005780000001,9.906980373311745,9.9833,-0.04529421999999883,-0.07631962668825487,-0.45369987879758034,-0.7644729366868157,8.488946906492712
Execution 25,10.053451618,10.040870436780807,10.1,-0.04654838199999922,-0.059129563219192605,-0.46087506930692307,-0.585441219992006,5.4829930625524455
Execution 26,9.990701415,9.97070948974748,10.1,-0.10929858499999945,-0.12929051025252036,-1.0821642079207867,-1.2801040619061423,7.024719358630438
Execution 27,8.120214518000001,8.111029509389246,10.3447,-2.2244854819999986,-2.233670490610754,-21.503624870706727,-21.592414382348004,4.907312156596799
Execution 28,8.820144328000001,8.82000094819152,10.3447,-1.5245556719999982,-1.5246990518084793,-14.737553259156847,-14.738939281066434,0.6008533568660365
Execution 29,8.596430502,8.587867015002649,10.3447,-1.748269497999999,-1.7568329849973505,-16.900146915811952,-16.982928311090227,4.736694245257786
Execution 30,7.540472248,7.519487653461364,10.3447,-2.804227751999999,-2.8252123465386356,-27.107869266387613,-27.310722848788615,7.881833381055127
