Device,Application,Schedule_UID,Frequency_Hz,Num_Tasks,Num_Chunks
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,24576000,100,1
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-G3M2B4-G091-daee,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-G3B1L1M4-G121-8be1,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-G4B5-G129-b4c6,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-M1G4L1B3-G131-0d46,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-G3B2M4-G147-2e89,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-M4L5-G151-35bf,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-G3M2L1B3-G166-d309,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-B2M7-G174-9721,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-G3M1B3L2-G194-8254,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-M2B7-G229-0c39,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-G3M1L1B4-G232-35d2,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-B1G4L1M3-G234-ee3d,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-G5B4-G234-871a,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-B1G3L1M4-G239-ada3,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-B1G4M4-G239-8fb7,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-G3B1M5-G248-3b96,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-M1G3B3L2-G250-f920,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-B4L5-G257-c864,24576000,100,2
3A021JEHN02756,cifar-sparse,SCH-G3B1M3L2-G259-7720,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-M1G4B4-G281-1a75,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-M1G5B3-G286-57fc,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-G4L1M4-G287-0cc8,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-G4L1B4-G287-df1f,24576000,100,3
3A021JEHN02756,cifar-sparse,SCH-M1G3L1B4-G309-3782,24576000,100,4
3A021JEHN02756,cifar-sparse,SCH-B1G3M3L2-G326-634e,24576000,100,4
